id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49683014,"Charmant 2 pièces, 5 mn de Cornavin / Rhône/ Lac",9348999,Sidy,,Commune de Genève,46.20222,6.13212,Entire home/apt,65,2,20,2021-06-19,3.90,1,0,20,
49686638,Great place to enjoy Geneva city,4250828,Ciel,,Commune de Genève,46.21504,6.12896,Entire home/apt,125,4,0,,,1,17,0,
49697003,Logement entièrement équipé et meublé,154666199,John,,Carouge,46.18986,6.13581,Entire home/apt,92,5,0,,,7,59,0,
49700273,Appartement a 10 minutes de l'aéroport de Genève,400852529,Noemi,,Vernier,46.20187,6.09897,Entire home/apt,63,7,1,2021-08-13,0.39,2,319,1,
49700699,Stylish 180 sq.m architect apartment / LAKE,364539911,Sissi,,Commune de Genève,46.21228,6.15029,Entire home/apt,650,2,6,2021-07-11,1.29,1,272,6,
49711666,Amazing flat | lake Geneva | Jet d’eau,14335179,Lydia,,Commune de Genève,46.21064,6.14875,Entire home/apt,107,7,6,2021-10-13,3.83,1,60,6,
49712497,LOVE & Relax  to Geneva,17675448,Mady,,Commune de Genève,46.20312,6.13525,Entire home/apt,83,2,0,,,9,52,0,
49726730,Quiet & Renovated Flat - Close to Train Station,3528377,Marc,,Commune de Genève,46.21247,6.14363,Entire home/apt,101,2,12,2021-10-04,2.17,79,50,12,
49729739,Petit nid rénové à Carouge,3737690,Philippe,,Carouge,46.18161,6.14159,Entire home/apt,100,3,2,2021-10-19,0.50,30,264,2,
49731260,Central and cozy apartment in Geneva,23340603,Lihi,,Commune de Genève,46.20324,6.16628,Entire home/apt,140,1,1,2021-07-09,0.27,3,0,1,
49763915,chambre avec salon privé (35m2) dans appt de 70 m2,80530837,Sandrine,,Commune de Genève,46.20185,6.13124,Private room,95,1,1,2021-08-10,0.37,1,365,1,
49787894,Sunny 2 Bedroom in Eaux-Vives - Jet D'eau View,3528377,Marc,,Commune de Genève,46.20253,6.1623,Entire home/apt,134,2,10,2021-10-07,10,79,229,10,
49811870,Cosy et charmante chambre au centre de Genève!,82677700,Doremi,,Commune de Genève,46.21179,6.14063,Private room,64,2,4,2021-09-07,0.92,1,45,4,
49821793,Geneva center - eaux vives - leman lake,9701737,Nicolas,,Commune de Genève,46.20284,6.15914,Entire home/apt,91,4,0,,,2,58,0,
49832341,"Charming, Bright, Large 2br in the heart of Geneva",4057752,Eve,,Commune de Genève,46.21056,6.15015,Entire home/apt,239,2,1,2021-08-29,0.49,1,0,1,
49866656,"Center of Geneva, 15min walk to Lake",24783076,Sebastien,,Commune de Genève,46.19527,6.15564,Entire home/apt,95,6,0,,,1,3,0,
49875270,Grande chambre privée au centre ville de Genève,402215203,Samy,,Commune de Genève,46.20067,6.12801,Private room,65,2,8,2021-10-07,1.66,1,270,8,
49883025,3 Bedroom apartment - Chatelaine,10409307,David,,Vernier,46.20982,6.11263,Entire home/apt,129,14,4,2021-10-01,0.90,27,312,4,
49890951,Modern Functional Flat,221816262,Ulisse,,Commune de Genève,46.19317,6.16033,Entire home/apt,106,7,0,,,6,37,0,
49946351,"Chambre à 4mins gare,5mins bord du lac,10mins ONU.",218648290,Andres,,Commune de Genève,46.2115,6.14422,Private room,64,1,15,2021-07-09,2.90,1,328,15,
49977457,Chambre spacieuse et indépendante au rez inférieur,235002359,Deborah,,Vernier,46.20319,6.09895,Private room,36,7,6,2021-09-24,1.61,2,308,6,
49999206,Lovely one bedroom condo with garden access,317384808,Karine,,Veyrier,46.16775,6.16701,Entire home/apt,70,3,1,2021-07-19,0.29,2,269,1,
50021532,"Une Chambre, 2 munites de L'ONU/Genève",219722678,Robert Kueyabatu,,Commune de Genève,46.2169,6.132637,Private room,100,1,0,,,1,365,0,
50022080,Spacious 1-bedroom apartment central in Paquis,139856,Patricia,,Commune de Genève,46.20824,6.14699,Entire home/apt,95,14,0,,,1,57,0,
50031247,COSY APPARTEMENT IN CITY CENTER,265487561,René,,Commune de Genève,46.21826,6.12163,Private room,70,3,0,,,1,304,0,
50049788,Cosy furnished studio - Old Town Geneva,103071235,Ramona,,Commune de Genève,46.20282,6.14387,Entire home/apt,105,7,0,,,3,350,0,
50067390,Bright studio apartment in Geneva center,397545840,Dinara,,Commune de Genève,46.20731,6.1354,Entire home/apt,110,5,1,2021-07-26,0.32,1,25,1,
50081164,Superb Studio - Near Jet D'Eau,3528377,Marc,,Commune de Genève,46.20418,6.15811,Entire home/apt,100,2,3,2021-10-04,3,79,61,3,
50082282,Room close to the tramway,29376991,Axel,,Lancy,46.18074,6.12169,Private room,45,1,7,2021-08-17,1.38,1,0,7,
50085974,Beautiful appartement near train station + parking,221512357,Matifa,,Commune de Genève,46.21871,6.13212,Entire home/apt,125,1,1,2021-10-10,1,1,164,1,
50095544,Appartement 110 m2 à louer a la semaine,170201705,Veronique,,Commune de Genève,46.19718,6.16104,Entire home/apt,151,7,2,2021-10-20,2,1,57,2,
50106823,Spacieux et superbe appartement avec piscine,134652502,Zied,,Commune de Genève,46.22476,6.13037,Entire home/apt,373,10,0,,,1,300,0,
50111464,"Modern huge flat in Geneva!  Great view, for free",404313935,Evangelia,,Chêne-Bougeries,46.20261,6.19908,Entire home/apt,129,2,7,2021-08-12,1.67,1,176,7,
50124536,Private Tiny Flat in Geneva's center,367246591,Artin,,Commune de Genève,46.20207,6.16036,Entire home/apt,94,2,3,2021-06-16,0.65,1,168,3,
50132447,Logement Lumineux Hauts Plafonds,404530076,Greg,,Commune de Genève,46.20764,6.12277,Entire home/apt,100,2,9,2021-08-01,1.84,1,0,9,
50142319,Cozy apartment full of life in the heart of Geneva,114548093,Adelson,,Commune de Genève,46.19246,6.14717,Entire home/apt,110,5,0,,,1,56,0,
50163771,Familien Wohnung nahe Flughafen,404839995,Emilia,,Vernier,46.21408,6.083,Entire home/apt,160,5,0,,,1,312,0,
